search_term,trait,value,data_from
Acrobates pygmaeus,gestation_day_mean,14,fauna.com.au
Bettongia lesueur,pan_TrophicLevel,2,Strahan book
Bettongia penicillata,pan_TrophicLevel,2,Strahan book
Chalinolobus picatus,pan_TrophicLevel,3,Strahan book
Chalinolobus picatus,litterperyear_mean,1,Strahan book (C. gouldii)
Chalinolobus picatus,female_maturity_day_mean,365,AnAge (C. gouldii)
Chalinolobus picatus,male_maturity_day_mean,NA,Unknown
Chalinolobus picatus,gestation_day_mean,92,AnAge (C. Gouldii)
Chalinolobus picatus,weaning_day_mean,60,Strahan book (C. gouldii)
Chalinolobus picatus,maxlongevity_mean,7.8,AnAge (C. gouldii)
Hydrurga leptonyx,pan_GR_Area_km2,34454727,IUCN EOO
Leporillus conditor,litterperyear_mean,2,wildliferesearchmanagement.au
Nyctophilus corbeni,elt_simpson,0,Nyctophilus timoriensis
Nyctophilus corbeni,pan_TrophicLevel,3,insectivore bats
Nyctophilus corbeni,littersize_mean,2,Strahan book (N. geoffroyi)
Nyctophilus corbeni,litterperyear_mean,1,Strahan book (N. geoffroyi)
Nyctophilus corbeni,pan_GR_Area_km2,NA,Unknown
Nyctophilus corbeni,female_maturity_day_mean,326.81,amniota (N. gouldii)
Nyctophilus corbeni,male_maturity_day_mean,NA,Unknown
Nyctophilus corbeni,gestation_day_mean,90,Strahan book (N. geoffroyi)
Nyctophilus corbeni,weaning_day_mean,42,Strahan book (N. geoffroyi)
Nyctophilus corbeni,maxlongevity_mean,5.9,N. geoffroyi
Nyctophilus corbeni,bodymass_mean,11.02,N. timoriensis
Ozimops ridei,weaning_day_mean,42,microbats in general
Pseudomys australis,pan_TrophicLevel,2,Strahan book
Pseudomys australis,litterperyear_mean,NA,Unknown
Saccolaimus flaviventris,pan_TrophicLevel,3,insectivore bats
Saccolaimus flaviventris,littersize_mean,1,Strahan book (Taphozous geogianus)
Saccolaimus flaviventris,female_maturity_day_mean,278,AnAge (Taphozous geogianus)
Saccolaimus flaviventris,male_maturity_day_mean,609,AnAge  book (Taphozous geogianus)
Saccolaimus flaviventris,gestation_day_mean,99,AnAge  book (Taphozous geogianus)
Saccolaimus flaviventris,weaning_day_mean,42,amniota (Taphozous geogianus)
Saccolaimus flaviventris,maxlongevity_mean,5,Strahan book (Taphozous geogianus)
Sminthopsis psammophila,female_maturity_day_mean,365,Recovery Plan
Sminthopsis psammophila,male_maturity_day_mean,365,Recovery Plan
Rattus rattus,pan_GR_Area_km2,134000000,NA
Oryctolagus cuniculus,common,European rabbit,NA
Rattus rattus,hc_HB,NA,NA
Oryctolagus cuniculus,hc_HB,NA,NA
